name,image,actual_price
STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Table...,images\71Zf9uUp+GL._AC_UL320_.jpg,1499
"Meat Up Chicken Flavour Real Chicken Dog Biscuit For All Life Stages, 1kg (Buy 1 Get 1 Free)",images\81eKrwo4VKL._AC_UL320_.jpg,349
"Purepet Ocean Fish Adult Dry Cat Food, 1.2kg",images\71N9qXb6rCL._AC_UL320_.jpg,239
"Purepet Mackerel Adult Dry Cat Food, 1.2 kg",images\71CZOKVVeVL._AC_UL320_.jpg,239
"Drools Chicken and Egg Adult Dry Dog Food, 3 kg with Free 1.2 kg",images\71NrhVNqHhL._AC_UL320_.jpg,699
"Pedigree Adult Dry Dog Food, Chicken & Vegetables Flavour, 3kg Pack",images\61Gm70FJSxL._AC_UL320_.jpg,810
"Pedigree Adult Wet Dog Food, Chicken and Liver Chunks Flavour in Gravy with Vegetables, 15 Pouches (15 x 70g)",images\61AVZoaBbXL._AC_UL320_.jpg,750
"Pedigree Puppy Dry Dog Food, Chicken & Milk, 3kg Pack",images\61IUJIyK2yL._AC_UL320_.jpg,760
"Drools Absolute Calcium Bone Jar, Dog Treats For All Life Stages - 40 Pieces (600g)",images\6140NhEjjiL._AC_UL320_.jpg,460
"Drools Chicken and Egg Puppy Dry Dog Food, 3kg with Free 1.2kg",images\71ZTpFAClLL._AC_UL320_.jpg,699
"Drools Optimum Performance Adult Dry Dog Food, Chicken Flavor, 10kg",images\71PKpcLG-3L._AC_UL320_.jpg,1499
"Aqualogica Glow+ Dewy Sunscreen SPF 50 PA+++ For UVA/B & Blue Light Protection, for Glowing & Well Protected Skin, Cream, 50G",images\51TSC6UogxL._AC_UL320_.jpg,399
MARVIK Soft Silicone Adjustable Band Strap Compatible for Oneplus Smart Band & Oppo Smart Band,images\51vYDop04SL._AC_UL320_.jpg,999
108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 1...,images\81VJ+MAc7YL._AC_UL320_.jpg,160
Black and White and Blue: Adult Cinema From the Victorian Age to the VCR,images\51RIhaW3t1L._AC_UL320_.jpg,584.16
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),images\61kmCas5OCL._AC_UL320_.jpg,799
"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...",images\51x3cj+-iUL._AC_UL320_.jpg,499
